date,swe_mm,tair_c,ppt_mm
2014-10-17,0,4.3,0
2014-10-18,0,5.2,0
2014-10-19,0,5.1,0
2014-10-20,0,5.6,2.5
2014-10-21,0,6.5,2.5
2014-10-22,0,3.4,5.1
2014-10-23,0,6.2,0
2014-10-24,0,8.1,0
2014-10-25,0,8.6,0
2014-10-26,0,7.9,0
2014-10-27,0,-2.1,2.5
2014-10-28,5.1,0.7,2.5
2014-10-29,5.1,4.1,0
2014-10-30,2.5,2.4,0
2014-10-31,2.5,4.8,0
2014-11-01,0,7,0
2014-11-02,0,3.9,0
2014-11-03,0,-2.3,0
2014-11-04,5.1,0.5,2.5
2014-11-05,2.5,3.1,0
2014-11-06,0,7.2,0
2014-11-07,0,4.2,5.1
2014-11-08,5.1,3.9,0
2014-11-09,5.1,5.6,0
2014-11-10,5.1,-2.9,5.1
2014-11-11,10.2,-14.9,0
2014-11-12,10.2,-23.4,7.6
2014-11-13,12.7,-6.9,7.6
2014-11-14,22.9,-2.3,5.1
2014-11-15,25.4,-7,7.6
2014-11-16,30.5,-13,0
2014-11-17,30.5,-10.8,2.5
2014-11-18,33,-5.9,0
2014-11-19,33,-2.2,0
2014-11-20,35.6,0.4,0
2014-11-21,35.6,-1.7,0
2014-11-22,35.6,-0.2,2.5
2014-11-23,35.6,-7.7,2.5
2014-11-24,38.1,-10.3,5.1
2014-11-25,40.6,-7.4,7.6
2014-11-26,55.9,-1.5,5.1
2014-11-27,61,2.5,0
2014-11-28,61,4.9,0
2014-11-29,61,2.8,0
2014-11-30,61,-0.1,0
2014-12-01,61,-1.5,0
2014-12-02,61,0.7,0
2014-12-03,61,1,0
2014-12-04,61,1.4,0
2014-12-05,61,-0.7,0
2014-12-06,61,-1.1,0
2014-12-07,61,-0.2,0
2014-12-08,58.4,0.2,2.5
2014-12-09,58.4,-0.4,0
2014-12-10,58.4,0.7,0
2014-12-11,58.4,2.4,0
2014-12-12,58.4,2.4,0
2014-12-13,58.4,1.3,0
2014-12-14,58.4,-3.1,5.1
2014-12-15,63.5,-8.3,0
2014-12-16,63.5,-3,2.5
2014-12-17,66,-4.2,0
2014-12-18,66,-5.6,0
2014-12-19,68.6,-4.9,2.5
2014-12-20,68.6,-3.1,0
2014-12-21,68.6,-3.5,12.7
2014-12-22,83.8,-8.3,5.1
2014-12-23,86.4,-11.4,2.5
